,Gene.name,First.Protein.Description,Intensity.M_1,Intensity.M_2,Intensity.M_3,Intensity.2D_1,Intensity.2D_2,Intensity.2D_3
7777,SRPK1,SRSF protein kinase 1,787000,975000,738000,346000,718000,269000
7778,SRPK2,SRSF protein kinase 2,609000,0,0,0,286000,0
7779,SRPRA,Signal recognition particle receptor subunit alpha,0,0,0,0,220000,0
7780,SRPRA,Signal recognition particle receptor subunit alpha,592000,414000,0,1580000,1790000,1030000
7781,SRPRB,Signal recognition particle receptor subunit beta,1270000,934000,603000,2510000,3260000,1750000
7782,SRPX2,Sushi repeat-containing protein SRPX2,0,0,0,1050000,1790000,688000
7783,SRRM1,Serine and arginine repetitive matrix 1,0,1030000,0,0,349000,0
7784,SRRM2,CTD domain-containing protein,0,0,0,0,41200,0
7785,SRRT,Arsenite-resistance protein 2,750000,731000,1110000,1290000,1600000,908000
7786,SRSF1,Serine/arginine-rich splicing factor 1,1350000,5510000,1970000,2190000,3310000,1310000
7787,SRSF1,Serine/arginine-rich splicing factor 1,0,776000,0,359000,0,0
7788,SRSF10,Serine and arginine rich splicing factor 10,265000,264000,0,0,372000,0
7789,SRSF10,Serine and arginine rich splicing factor 12,345000,369000,0,0,716000,0
7790,SRSF11,Serine and arginine rich splicing factor 11,74000,194000,0,160000,249000,0
7791,SRSF2,Serine/arginine-rich splicing factor 2,1690000,5830000,1590000,2190000,3860000,1570000
7792,SRSF3,Serine and arginine rich splicing factor 3,0,378000,0,0,4.00E+05,0
7793,SRSF3,Serine and arginine rich splicing factor 3,4780000,3530000,0,5710000,5590000,4160000
7794,SRSF4,Serine and arginine rich splicing factor 5,4330000,7580000,0,3320000,10200000,3290000
7795,SRSF5,Serine and arginine rich splicing factor 5,0,61000,103000,0,0,0
7796,SRSF6,Serine and arginine rich splicing factor 6,0,835000,342000,1220000,2450000,1140000
7797,SRSF7,Serine and arginine rich splicing factor 7,2190000,4220000,1920000,5140000,5570000,7060000
7798,SRSF9,Serine and arginine rich splicing factor 9,0,0,0,517000,0,807000
7799,SRXN1,Sulfiredoxin,288000,0,0,0,513000,0
7800,SSB,Small RNA binding exonuclease protection factor La,2730000,2890000,3290000,4590000,5250000,3410000
7801,SSBP1,Single-stranded DNA-binding protein,0,0,0,0,0,0
7802,SSH1,Protein-serine/threonine phosphatase,392000,434000,822000,0,344000,0
7803,SSH2,Protein-serine/threonine phosphatase,0,0,0,0,0,0
7804,SSH3,Protein-serine/threonine phosphatase,1830000,2160000,1860000,3970000,4630000,3440000
7805,SSPN,Sarcospan,410000,380000,0,0,0,0
7806,SSPN,Sarcospan,601000,1560000,2510000,781000,1260000,1370000
7807,SSPN,Sarcospan,391000,384000,437000,869000,626000,984000
7808,SSR1,Translocon-associated protein subunit alpha,2320000,2420000,865000,2920000,3620000,1840000
7809,SSR3,Signal sequence receptor subunit 3,111000,69100,0,413000,518000,331000
7810,SSR4,Translocon-associated protein subunit delta,941000,1080000,777000,2540000,3780000,1220000
7811,SSRP1,FACT complex subunit SSRP1,937000,1280000,0,1270000,2360000,1010000
7812,SSU72,RNA polymerase II subunit A C-terminal domain phosphatase SSU72,169000,230000,21700,474000,987000,320000
7813,ST14,ST14 transmembrane serine protease matriptase,2630000,2600000,3640000,0,0,0
7814,ST14,ST14 transmembrane serine protease matriptase,730000,0,0,0,0,0
7815,ST14,ST14 transmembrane serine protease matriptase,1470000,1600000,0,0,0,0
7816,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",987000,737000,1020000,165000,346000,0
7817,ST3GAL2,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2",0,138000,0,0,0,141000
7818,ST3GAL4,"ST3 beta-galactoside alpha-2,3-sialyltransferase 4",779000,458000,940000,0,0,0
7819,ST3GAL6,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6",566000,613000,0,0,0,0
7820,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",49800,0,0,0,0,0
7821,ST6GALNAC4,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4",272000,318000,452000,401000,649000,733000
7822,ST6GALNAC6,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",0,0,0,0,571000,0
7823,ST7,Suppressor of tumorigenicity 7 protein,0,0,0,0,0,0
7824,STAG1,Stromal antigen 1,0,0,0,0,0,0
7825,STAM,Signal transducing adaptor molecule,4830000,3620000,3470000,2440000,3570000,3720000
7826,STAM,Signal transducing adaptor molecule,1130000,756000,1210000,1640000,1070000,1360000
7827,STAM2,Signal transducing adaptor molecule 2,2430000,1920000,1910000,2490000,2660000,3630000
7828,STAMBPL1,STAM binding protein like 1,0,0,0,235000,204000,190000
7829,STAP2,Signal transducing adaptor family member 2,642000,787000,0,0,0,0
7830,STARD10,StAR related lipid transfer domain containing 10,4080000,3210000,2170000,1090000,1020000,0
7831,STARD13,StAR related lipid transfer domain containing 13,1430000,1750000,737000,2420000,2290000,2090000
7832,STARD3,StAR-related lipid transfer protein 3,118000,411000,0,222000,145000,242000
7833,STARD3NL,STARD3 N-terminal like,1450000,1730000,3710000,7410000,4890000,9910000
7834,STARD4,StAR related lipid transfer domain containing 4,630000,0,0,0,0,0
7835,STARD5,StAR related lipid transfer domain containing 5,380000,228000,0,419000,332000,0
7836,STARD7,StAR related lipid transfer domain containing 7,347000,379000,0,620000,422000,463000
7837,STAT1,Signal transducer and activator of transcription,3920000,4220000,4060000,12600000,14400000,9920000
7838,STAT2,Signal transducer and activator of transcription,782000,755000,685000,1880000,2220000,1850000
7839,STAT3,Signal transducer and activator of transcription,2290000,1960000,1530000,3460000,4290000,3320000
7840,STAT4,Signal transducer and activator of transcription,0,0,0,0,0,759000
7841,STAT5A,Signal transducer and activator of transcription,1050000,1740000,1560000,2980000,2580000,1870000
7842,STAT5A,Signal transducer and activator of transcription,0,0,0,0,0,0
7843,STAT5B,Signal transducer and activator of transcription,244000,136000,0,651000,329000,353000
7844,STAT6,Signal transducer and activator of transcription,329000,396000,0,514000,733000,0
7845,STAT6,Signal transducer and activator of transcription,1250000,1170000,1060000,1180000,1580000,1120000
7846,STAT6,Signal transducer and activator of transcription,313000,245000,0,0,254000,0
7847,STAU1,Staufen double-stranded RNA binding protein 1,0,0,0,262000,512000,0
7848,STAU2,Double-stranded RNA-binding protein Staufen homolog 2,0,0,0,0,0,0
7849,STC1,Stanniocalcin 1,2370000,2100000,3980000,5230000,11500000,7250000
7850,STEAP1,Ferric oxidoreductase domain-containing protein,739000,1330000,902000,3130000,3870000,4390000
7851,STEAP2,STEAP2 metalloreductase,3050000,4030000,2120000,8830000,9800000,1.00E+07
7852,STEAP3,STEAP3 metalloreductase,1250000,1770000,1720000,6050000,5890000,5610000
7853,STIM1,Stromal interaction molecule 1,0,0,0,1060000,545000,654000
7854,STIM2,Stromal interaction molecule 2,0,0,0,0,0,0
7855,STIP1,Stress-induced-phosphoprotein 1,23200000,20800000,22800000,40300000,40800000,37100000
7856,STK10,Serine/threonine kinase 10,35200000,36100000,22800000,10400000,10700000,1.30E+07
7857,STK11,Non-specific serine/threonine protein kinase,3910000,3420000,3160000,1700000,1070000,1770000
7858,STK11IP,Serine/threonine-protein kinase 11-interacting protein,104000,71800,0,297000,269000,364000
7859,STK16,Serine/threonine kinase 16,372000,517000,0,0,0,0
7860,STK16,Serine/threonine kinase 16,566000,977000,0,234000,435000,704000
7861,STK17B,Serine/threonine kinase 17b,83200,0,0,156000,0,0
7862,STK24,Serine/threonine kinase 24,44300000,40100000,25400000,6910000,6980000,7720000
7863,STK24,Serine/threonine kinase 24,19600000,17800000,27900000,2480000,4400000,2730000
7864,STK25,Serine/threonine kinase 25,16400000,15900000,9160000,3410000,2850000,3880000
7865,STK3,Non-specific serine/threonine protein kinase,2430000,2620000,1660000,1790000,3010000,1690000
7866,STK3,Non-specific serine/threonine protein kinase,533000,719000,545000,1510000,1010000,1450000
7867,STK36,Non-specific serine/threonine protein kinase,147000,184000,0,0,0,0
7868,STK38,Serine/threonine kinase 38,3370000,3530000,940000,2750000,3190000,2680000
7869,STK38,Serine/threonine kinase 38,1830000,2710000,1500000,2490000,2440000,2400000
7870,STK38L,Serine/threonine kinase 38 like,1130000,1270000,432000,1650000,1550000,1560000
7871,STK39,Non-specific serine/threonine protein kinase,0,441000,0,2020000,2010000,1430000
7872,STK4,Non-specific serine/threonine protein kinase,577000,558000,395000,544000,819000,493000
7873,STMN1,Stathmin,3760000,1950000,4940000,3110000,1980000,2910000
7874,STN1,CST complex subunit STN1,339000,548000,0,261000,394000,2820000
7875,STOM,Stomatin,2.50E+09,2.98E+09,2.53E+09,1.11E+08,1.04E+08,1.34E+08
7876,STOM,Stomatin,1.08E+08,1.48E+08,0,3890000,1980000,0
7877,STOML1,Stomatin like 1,193000,61700,0,0,0,0
7878,STOML2,Stomatin like 2,268000,406000,375000,141000,408000,0
7879,STOML3,Stomatin like 3,1.76E+09,2.33E+09,0,0,0,1.34E+08
7880,STON1,Stonin-1,0,0,0,1370000,1300000,1010000
7881,STON2,Stonin-2,101000,179000,0,0,0,0
7882,STRADA,STE20 related adaptor alpha,239000,296000,0,384000,0,508000
7883,STRADA,STE20 related adaptor alpha,2820000,3440000,3240000,1970000,2190000,1630000
7884,STRADB,STE20 related adaptor beta,1690000,2550000,6090000,299000,226000,369000
7885,STRAP,Serine/threonine kinase receptor associated protein,4380000,3730000,3760000,4970000,6210000,4050000
7886,STRBP,Spermatid perinuclear RNA-binding protein,0,0,0,0,0,0
7887,STRIP1,Striatin interacting protein 1,858000,906000,472000,1940000,3050000,1540000
7888,STRN,Striatin,248000,147000,0,114000,133000,142000
7889,STRN,Striatin,1080000,876000,729000,787000,1140000,801000
7890,STRN,Striatin,619000,748000,0,520000,733000,529000
7891,STRN,Striatin 4,740000,502000,339000,614000,861000,594000
7892,STRN3,Striatin 3,1600000,1620000,1380000,5140000,5330000,4730000
7893,STRN4,Striatin 4,417000,578000,305000,986000,1360000,809000
7894,STS,Steroid sulfatase,0,0,424000,0,0,0
7895,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,589000,870000,17600000,2790000,4160000,1570000
7896,STT3A,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,471000,839000,0,3730000,5290000,0
7897,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,518000,947000,0,1900000,3540000,1580000
7898,STUB1,RING-type E3 ubiquitin transferase,10600000,13100000,11600000,8950000,10400000,9530000
7899,STX10,Syntaxin 10,150000,290000,984000,0,0,0
7900,STX11,Syntaxin 11,4020000,5920000,3490000,2670000,2610000,3770000
7901,STX12,Syntaxin 12,1390000,1090000,1720000,3440000,3350000,6.00E+06
7902,STX16,t-SNARE coiled-coil homology domain-containing protein,349000,344000,354000,405000,538000,460000
7903,STX17,Syntaxin 17,798000,1220000,0,2010000,1770000,1820000
7904,STX18,Syntaxin-18,227000,0,0,0,198000,0
7905,STX19,Syntaxin 19,1470000,1890000,2070000,0,0,0
7906,STX1A,Syntaxin 1A,243000,210000,0,0,0,0
7907,STX2,Syntaxin 2,5410000,5760000,5250000,3170000,2850000,4680000
7908,STX3,t-SNARE coiled-coil homology domain-containing protein,19800000,2.30E+07,33800000,0,525000,639000
7909,STX4,Syntaxin 4,16200000,18700000,25400000,13800000,12500000,19200000
7910,STX5,Syntaxin 5,426000,618000,1350000,1310000,936000,753000
7911,STX6,Syntaxin 6,1260000,1510000,940000,1850000,1560000,1780000
7912,STX7,Syntaxin 7,12800000,9620000,15200000,11700000,9770000,22300000
7913,STX8,Syntaxin 8,405000,512000,777000,0,0,493000
7914,STXBP1,Syntaxin binding protein 1,6330000,7.00E+06,12100000,16700000,13800000,19300000
7915,STXBP2,Syntaxin-binding protein 2,70800000,87900000,55100000,13700000,11400000,15400000
7916,STXBP3,Syntaxin binding protein 3,10600000,15200000,16600000,13400000,12100000,17600000
7917,STXBP4,Syntaxin binding protein 4,1370000,1790000,0,0,461000,0
7918,STXBP5,Syntaxin binding protein 5,7510000,7350000,10500000,8540000,7280000,7900000
7919,SUCLA2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",58400,80000,0,382000,567000,144000
7920,SUCLA2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",0,0,0,0,1040000,0
7921,SUCLA2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",0,93100,0,0,0,0
7922,SUCLA2,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",0,0,0,0,379000,0
7923,SUCLG1,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",0,223000,0,1480000,1.00E+06,1550000
7924,SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",0,517000,0,497000,925000,297000
7925,SUDS3,"SDS3 homolog, SIN3A corepressor complex component",0,0,0,0,0,0
7926,SUFU,Suppressor of fused homolog,226000,136000,117000,0,149000,96000
7927,SUGCT,Succinyl-CoA:glutarate-CoA transferase,0,0,0,0,0,0
7928,SUGT1,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",5820000,4260000,5950000,6900000,7080000,5810000
7929,SULT1A1,Sulfotransferase 1A1,16600000,16800000,64300000,3480000,3500000,2570000
7930,SULT1C4,Sulfotransferase,3150000,2980000,2550000,3830000,4220000,2940000
7931,SULT1D1,Sulfotransferase,0,0,0,7190000,8790000,6030000
7932,SUMF1,Sulfatase modifying factor 1,0,0,0,0,0,0
7933,SUMF2,Sulfatase modifying factor 2,0,0,0,0,0,0
7934,SUMO1,Small ubiquitin like modifier 1,784000,454000,754000,1570000,1720000,1320000
7935,SUMO2,Small ubiquitin-related modifier,4740000,4290000,6330000,12100000,7650000,10700000
7936,SUN1,Sad1 and UNC84 domain containing 1,0,0,0,0,0,0
7937,SUN2,Sad1 and UNC84 domain containing 2,0,0,0,0,322000,0
7938,SUOX,Sulfite oxidase,921000,639000,1100000,737000,0,0
7939,SUPT16H,FACT complex subunit,924000,924000,0,811000,1370000,467000
7940,SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit",669000,695000,559000,818000,1170000,886000
7941,SUPT5H,Transcription elongation factor SPT5,583000,594000,548000,744000,1670000,682000
7942,SUPT6H,Transcription elongation factor spt6,0,0,0,439000,722000,412000
7943,SUPV3L1,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",0,0,0,0,0,0
7944,SURF1,SURF1-like protein,0,0,0,0,0,0
7945,SURF4,Surfeit locus protein 4,3270000,2830000,49100000,13100000,13900000,15900000
7946,SUSD2,Sushi domain containing 2,1210000,772000,364000,3670000,1970000,3470000
7947,SUSD6,Sushi domain containing 6,735000,652000,0,0,156000,0
7948,SVIL,Supervillin,631000,709000,213000,128000,409000,0
7949,SWAP70,Switching B cell complex subunit SWAP70,4810000,4570000,5460000,7400000,6540000,7510000
7950,SWSAP1,ATPase SWSAP1,116000,121000,0,0,0,0
7951,SYAP1,Synapse associated protein 1,0,0,0,0,0,0
7952,SYMPK,Symplekin scaffold protein,97300,0,190000,0,0,0
7953,SYNCRIP,Synaptotagmin binding cytoplasmic RNA interacting protein,8130000,6770000,9010000,12100000,12600000,9490000
7954,SYNE1,Spectrin repeat containing nuclear envelope protein 1,0,0,0,1330000,329000,0
7955,SYNE2,Spectrin repeat containing nuclear envelope protein 2,476000,449000,345000,103000,511000,0
7956,SYNE3,Spectrin repeat containing nuclear envelope family member 3,0,0,0,0,0,0
7957,SYNGR1,Synaptogyrin 1,4690000,4870000,6490000,7300000,6050000,5410000
7958,SYNGR2,Synaptogyrin 2,3510000,8430000,7790000,19200000,22500000,17700000
7959,SYNGR3,Synaptogyrin,4900000,3690000,8110000,8800000,9290000,8390000
7960,SYNJ1,Phosphoinositide 5-phosphatase,0,0,0,1240000,1020000,678000
7961,SYNJ2,Phosphoinositide 5-phosphatase,93000,0,115000,0,47400,0
7962,SYNJ2BP,Synaptojanin 2 binding protein,117000,0,0,0,351000,0
7963,SYNPO,Synaptopodin,187000,190000,9050000,396000,733000,447000
7964,SYNRG,Synergin gamma,0,80100,115000,383000,0,0
7965,SYPL1,Synaptophysin like 1,38500000,45500000,93900000,60400000,54200000,59700000
7966,SYS1,Protein SYS1 homolog,0,756000,319000,614000,769000,655000
7967,SYT1,Synaptotagmin,0,0,0,3310000,2480000,5150000
7968,SYT11,Synaptotagmin 11,1200000,1440000,780000,748000,987000,814000
7969,SYT7,Synaptotagmin 7,182000,0,0,965000,913000,1260000
7970,SYT8,Synaptotagmin 8,1090000,881000,1010000,0,0,0
7971,SYTL1,Synaptotagmin like 1,1270000,1840000,1500000,3650000,3980000,3650000
7972,SYTL1,Synaptotagmin like 1,0,0,0,1340000,1570000,1120000
7973,SYTL2,Synaptotagmin like 2,902000,760000,472000,0,0,0
7974,SYTL2,Synaptotagmin like 2,11700000,11200000,9660000,0,0,0
7975,SYTL2,Synaptotagmin like 2,18500000,19300000,7550000,1940000,1610000,2200000
7976,SYTL2,Synaptotagmin like 2,3380000,3380000,3050000,253000,251000,3.00E+05
7977,SYTL2,Synaptotagmin like 2,556000,538000,454000,0,0,0
7978,SYTL4,Synaptotagmin like 4,206000,231000,0,645000,292000,536000
7979,SYTL5,Synaptotagmin like 5,750000,689000,4.00E+05,0,0,0
7980,SYVN1,RING-type E3 ubiquitin transferase,0,0,0,1300000,1580000,652000
7981,SZRD1,SUZ domain-containing protein 1,276000,0,0,102000,40500,169000
7982,SZT2,SZT2 subunit of KICSTOR complex,0,0,0,195000,62700,0
7983,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1,817000,552000,0,1240000,1570000,775000
7984,TAB2,TGF-beta activated kinase 1 (MAP3K7) binding protein 2,177000,0,86300,0,464000,0
7985,TACC1,Transforming acidic coiled-coil containing protein 1,460000,0,0,0,542000,0
7986,TACC1,Transforming acidic coiled-coil containing protein 1,0,0,291000,329000,0,426000
7987,TACC2,Transforming acidic coiled-coil containing protein 2,213000,211000,0,0,185000,121000
7988,TACC3,Transforming acidic coiled-coil containing protein 3,0,0,0,358000,0,0
7989,TACO1,Translational activator of cytochrome c oxidase I,0,0,0,0,0,0
7990,TACSTD2,Tumor associated calcium signal transducer 2,18900000,25200000,36300000,0,430000,164000
7991,TADA2B,Transcriptional adapter,871000,1820000,1740000,1490000,2360000,1590000
7992,TAF13,TATA-box binding protein associated factor 13,79800,0,0,258000,295000,0
7993,TAF15,TATA-box binding protein associated factor 15,792000,917000,1170000,912000,931000,1210000
7994,TAF2,Transcription initiation factor TFIID subunit 2,0,0,0,0,0,0
7995,TAF9,TATA-box binding protein associated factor 9b,0,0,0,0,0,0
7996,TAGLN,Uncharacterized protein,554000,226000,1080000,2900000,1580000,2480000
7997,TAGLN2,Transgelin,52300000,24500000,31600000,1.90E+07,26800000,23600000
7998,TAGLN2,Transgelin,2.64E+08,1.69E+08,1.86E+08,2.89E+08,2.71E+08,2.92E+08
7999,TAGLN3,Transgelin,580000,331000,0,0,485000,0
8000,TALDO1,Transaldolase,1.80E+07,14800000,22800000,23300000,1.60E+07,18600000
8001,TAMM41,"Phosphatidate cytidylyltransferase, mitochondrial",0,0,0,0,0,0
8002,TANC1,"Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1",507000,578000,1190000,2570000,2200000,2640000
8003,TANC2,"Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",813000,927000,0,2780000,2500000,3050000
8004,TANGO6,Transport and golgi organization 6 homolog,101000,223000,0,0,138000,0
8005,TANK,TRAF family member associated NFKB activator,0,0,0,141000,120000,0
8006,TAOK1,TAO kinase 1,7450000,7650000,5420000,4790000,4480000,5820000
8007,TAOK1,TAO kinase 1,19100000,18600000,16100000,1.40E+07,12100000,17100000
8008,TAOK1,TAO kinase 2,9630000,10500000,0,4510000,6050000,5420000
8009,TAOK1,TAO kinase 2,10700000,11900000,8940000,0,6540000,9810000
8010,TAOK2,TAO kinase 2,2570000,3140000,5.00E+06,1140000,1140000,1340000
8011,TAOK3,TAO kinase 3,13700000,12900000,9830000,8840000,7040000,9330000
8012,TAP1,Proteasome 20S subunit beta 8,0,0,0,1510000,3990000,1280000
8013,TAP1,Proteasome 20S subunit beta 8,0,0,0,301000,948000,0
8014,TAP1,"Transporter 1, ATP binding cassette subfamily B member",0,0,0,3020000,4220000,1720000
8015,TAPBP,Tapasin,1540000,1450000,1510000,15500000,16600000,9450000
8016,TAPT1,Transmembrane anterior posterior transformation 1,0,5310000,0,312000,268000,2300000
8017,TARBP1,TAR (HIV-1) RNA binding protein 1,88300,107000,0,0,0,0
8018,TARBP2,RISC-loading complex subunit TARBP2,0,0,0,0,0,0
8019,TARDBP,TAR DNA-binding protein 43,1900000,1400000,782000,1370000,2350000,1160000
8020,TARS1,Threonine--tRNA ligase,5230000,7560000,7860000,9060000,10100000,7350000
8021,TARS1,Threonine--tRNA ligase,1930000,1790000,1500000,0,2520000,0
8022,TARS2,Threonine--tRNA ligase,0,0,0,0,0,0
8023,TARS3,Threonyl-tRNA synthetase 3,0,0,0,0,0,0
8024,TASOR,Transcription activation suppressor,269000,179000,0,0,0,0
8025,TATDN1,TatD DNase domain containing 1,1010000,1300000,1400000,1110000,767000,968000
8026,TAX1BP1,Tax1 binding protein 1,595000,759000,888000,979000,1450000,1410000
8027,TAX1BP3,Tax1-binding protein 3,9020000,9250000,10900000,8740000,7970000,10900000
8028,TBC1D1,TBC1 domain family member 1,0,0,0,0,0,0
8029,TBC1D1,TBC1 domain family member 1,218000,102000,0,0,0,0
8030,TBC1D10A,TBC1 domain family member 10A,25200000,29400000,18600000,5650000,6530000,5250000
8031,TBC1D10A,TBC1 domain family member 10B,0,306000,0,0,128000,0
8032,TBC1D10B,TBC1 domain family member 10B,4320000,5650000,4010000,2780000,3310000,3010000
8033,TBC1D10C,TBC1 domain family member 10C,1200000,1040000,981000,454000,602000,402000
8034,TBC1D12,TBC1 domain family member 12,314000,219000,0,270000,224000,304000
8035,TBC1D13,TBC1 domain family member 13,243000,244000,0,1720000,1080000,1.00E+06
8036,TBC1D15,TBC1 domain family member 15,867000,889000,351000,2890000,3400000,2660000
8037,TBC1D17,TBC1 domain family member 17,440000,533000,0,1610000,1860000,1320000
8038,TBC1D2,TBC1 domain family member 2,336000,556000,0,462000,842000,420000
8039,TBC1D22A,TBC1 domain family member 22A,331000,454000,545000,477000,498000,473000
8040,TBC1D23,TBC1 domain family member 23,343000,388000,637000,607000,925000,812000
8041,TBC1D24,TBC1 domain family member 24,307000,373000,0,663000,564000,224000
8042,TBC1D25,TBC1 domain family member 25,0,0,0,728000,642000,553000
8043,TBC1D2B,Rab-GAP TBC domain-containing protein,169000,210000,140000,555000,289000,356000
8044,TBC1D32,TBC1 domain family member 32,82400,112000,0,169000,353000,0
8045,TBC1D4,TBC1 domain family member 4,177000,157000,0,0,289000,0
8046,TBC1D5,TBC1 domain family member 5,1020000,966000,641000,983000,1380000,708000
8047,TBC1D7,TBC1 domain family member 7,196000,0,0,515000,687000,655000
8048,TBC1D8B,TBC1 domain family member 8B,5690000,5200000,0,13400000,17700000,9860000
8049,TBC1D9B,TBC1 domain family member 9B,615000,769000,572000,3210000,3370000,2570000
8050,TBCA,Tubulin-specific chaperone A,8710000,5270000,15900000,16900000,7800000,13100000
8051,TBCB,Tubulin folding cofactor B,2440000,1770000,2760000,7700000,8610000,7710000
8052,TBCC,Tubulin folding cofactor C,836000,946000,1180000,1820000,1460000,1970000
8053,TBCD,Tubulin-specific chaperone D,2.00E+06,2290000,2270000,5600000,6680000,4880000
8054,TBCE,Tubulin-specific chaperone E,1100000,998000,1320000,2210000,2730000,1410000
8055,TBCK,TBC1 domain containing kinase,3490000,5670000,858000,6620000,7290000,5390000
8056,TBK1,TANK binding kinase 1,1270000,1230000,762000,2780000,3670000,2110000
8057,TBL1X,LisH domain-containing protein,185000,0,133000,305000,189000,211000
8058,TBL1X,TBL1X receptor 1,709000,557000,704000,925000,995000,788000
8059,TBL1XR1,TBL1X receptor 1,748000,313000,140000,0,580000,339000
8060,TBL2,Transducin beta like 2,0,194000,0,358000,560000,0
8061,TBL2,Transducin beta like 2,0,218000,0,650000,492000,0
8062,TBL3,Transducin beta like 3,277000,374000,53800,345000,425000,0
8063,TBP,TATA-box binding protein,0,0,0,0,0,0
8064,TBPL1,TATA box-binding protein-like 1,0,0,309000,0,0,0
8065,TBRG4,Transforming growth factor beta regulator 4,0,0,0,108000,0,0
8066,TBXA2R,Thromboxane A2 receptor,0,0,0,2020000,1250000,2900000
8067,TBXAS1,Thromboxane A synthase 1,0,0,0,0,0,0
8068,TC2N,"Tandem C2 domains, nuclear",527000,753000,276000,457000,440000,599000
8069,TCAF2,Uncharacterized protein,1220000,1380000,1250000,946000,1100000,961000
8070,TCEA1,Palmitoyl-protein hydrolase,2170000,1710000,2080000,1520000,1220000,885000
8071,TCEA1,Transcription elongation factor A1,58400,230000,329000,0,0,0
8072,TCERG1,Transcription elongation regulator 1,447000,586000,259000,507000,487000,368000
8073,TCHP,Trichoplein keratin filament binding,0,167000,0,0,0,0
8074,TCIRG1,V-type proton ATPase subunit a,4380000,6720000,11600000,25400000,20900000,26700000
8075,TCN2,Transcobalamin 2,451000,459000,320000,532000,1440000,560000
8076,TCOF1,Treacle ribosome biosis factor 1,87300,582000,251000,0,25800,0
8077,TCP1,T-complex protein 1 subunit alpha,12500000,15100000,17500000,38800000,42600000,27300000
8078,TCP11L1,T-complex 11 like 1,195000,50000,0,108000,127000,186000
8079,TCTN1,Tectonic family member 1,212000,199000,0,0,0,0
8080,TCTN2,ATPase H+ transporting V0 subunit a2,0,341000,340000,0,0,0
8081,TCTN2,V-type proton ATPase subunit a,862000,1090000,2220000,2180000,1460000,1770000
8082,TCTN3,Tectonic family member 3,115000,109000,139000,0,0,0
8083,TDG,Thymine DNA glycosylase,0,0,0,0,0,0
8084,TDP2,Tyrosyl-DNA phosphodiesterase 2,318000,154000,0,0,0,0
8085,TDRD7,Tudor domain-containing protein 7,284000,151000,0,375000,671000,641000
8086,TEAD1,TEA domain transcription factor 1,0,0,0,0,0,0
8087,TEC,Tyrosine-protein kinase,2360000,3110000,2180000,1560000,1800000,2080000
8088,TECPR1,Tectonin beta-propeller repeat containing 1,191000,339000,0,0,210000,0
8089,TECPR1,Tectonin beta-propeller repeat-containing protein 1,0,0,0,164000,0,0
8090,TECPR1,Tectonin beta-propeller repeat-containing protein 1,607000,1.00E+06,930000,423000,407000,0
8091,TECPR2,Tectonin beta-propeller repeat containing 2,0,0,0,485000,567000,621000
8092,TECR,Very-long-chain enoyl-CoA reductase,412000,585000,1340000,1280000,1590000,1500000
8093,TECTA,TBCEL-TECTA readthrough,0,0,0,0,0,0
8094,TEKT2,ADP-ribosylserine hydrolase,751000,559000,891000,762000,655000,680000
8095,TELO2,Telomere length regulation protein TEL2 homolog,277000,326000,0,263000,491000,0
8096,TEN1,CST complex subunit TEN1,0,0,0,0,0,0
8097,TENM4,Teneurin transmembrane protein 4,906000,940000,550000,0,0,0
8098,TENM4,Teneurin transmembrane protein 4,3300000,3670000,3980000,1410000,0,0
8099,TEP1,Telomerase associated protein 1,783000,909000,720000,0,214000,198000
8100,TEP1,Telomerase associated protein 1,1130000,1680000,1500000,238000,617000,628000
8101,TEPSIN,TEPSIN adaptor related protein complex 4 accessory protein,0,0,0,0,0,0
8102,TERF2,Telomeric repeat binding factor 2,0,0,0,0,0,0
8103,TERT,Telomerase reverse transcriptase,2160000,3810000,2210000,0,1830000,1220000
8104,TES,Testin,23800000,19800000,24100000,3780000,5450000,3880000
8105,TESK1,Testis associated actin remodelling kinase 1,0,47300,0,262000,204000,274000
8106,TEX10,Testis expressed 10,0,382000,0,384000,367000,0
